agency, firename, lat, lon, startdate, hectares, stage_of_control, timezone
ab, EWF-015-2023, 53.6828, -115.948, 2023-04-29 20:20:00, 46.57, UC
ab, LWF-047-2023, 54.6685, -111.908, 2023-04-26 18:09:00, 0.1, UC
ab, HWF-008-2023, 58.4787, -114.536, 2023-04-17 23:22:00, 0.01, UC
ab, WWF-015-2023, 54.0948, -115.322, 2023-04-29 23:00:00, 47, UC
ab, LWF-084-2023, 54.6224, -111.829, 2023-05-04 03:35:00, 153, UC, MDT
ab, LWF-091-2023, 54.5023, -113.654, 2023-05-04 22:50:00, 200, UC, MDT
ab, PWF-008-2023, 56.4749, -117.295, 2023-04-17 01:50:00, 64.6, UC
ab, HWF-002-2023, 58.5221, -115.167, 2023-03-30 20:05:00, 0.1, UC
ak, Windfall Mountain Coal Seam, 65.0282, -141.246, 2023-05-08 00:00:00, 0.04, Unstaffed/Uncontaine
sk, 23LA-DECEPTION, 56.5541, -104.258, 2023-05-12 17:58:36, 1000, OC, CST
ak, Trout Creek Coal Seam, 65.0973, -141.639, 2023-05-08 00:00:00, 0.04, Unstaffed/Uncontaine
ab, EWF-039-2023, 53.4706, -115.871, 2023-05-06 03:51:00, 165, BH, MDT
ak, Stuart Creek Rx, 64.7068, -146.606, 2023-05-03 00:00:00, 5908.4, Pre
bc, 2023-G80175, 56.5319, -121.925, 2023-05-03 04:05:00, 385, UC, PDT
bc, 2023-G80220, 56.2688, -119.93, 2023-05-05 21:37:00, 6171, UC, PDT
ab, EWF-038-2023, 53.6919, -116.081, 2023-05-06 02:38:00, 1.2, UC, MDT
ab, PWF-036-2023, 56.5305, -118.855, 2023-05-05 20:30:00, 13, UC, MDT
bc, 2023-G30210, 53.2884, -120.071, 2023-05-05 00:01:00, 1100, UC, PDT
bc, 2023-G40324, 53.9544, -124.519, 2023-05-15 21:42:00, 142, UC, PDT
ab, LWF-114-2023, 55.181, -111.994, 2023-05-12 20:47:00, 5, UC, MDT
ab, SWF-060-2023, 55.9564, -115.056, 2023-05-04 22:09:00, 43981, BH, MDT
bc, 2023-G80291, 56.5112, -121.222, 2023-05-13 23:03:00, 29222, BH, PDT
ab, LSZ-001-2023, 55.272, -110.026, 2023-05-24 13:00:00, 4900, OC, MDT
bc, 2023-G80223, 56.4112, -121.233, 2023-05-05 22:06:00, 2947, UC, PDT
ab, PWF-035-2023, 56.537, -118.874, 2023-05-05 20:30:00, 0.3, UC, MDT
nt, FS005-23, 62.8533, -124.842, 2023-05-19 22:25:00, 540, OC, MDT
nt, FS004-23, 63.2583, -125.12, 2023-05-17 14:30:00, 10335, OC, MDT
nt, FS003-23, 62.554, -124.644, 2023-05-17 14:30:00, 12453, OC, MDT
mb, NO007, 54.5228, -97.7611, 2023-05-15 05:00:00, 3436.1, UC, CDT
nt, FS002-23, 61.8247, -123.87, 2023-05-19 21:49:00, 14550, OC, MDT
pc, 2023NA1, 61.8325, -123.936, 2023-05-16 19:52:18, 57130, OC, MDT
bc, 2023-G70472, 54.8899, -120.98, 2023-05-21 22:07:00, 4, UC, PDT
nt, SS004-23, 60.9536, -119.188, 2023-05-12 23:30:00, 5356, OC, MDT
ab, SWF-085-2023, 55.2233, -114.243, 2023-05-17 02:11:00, 39.4, UC, MDT
ab, LCU-003-2023, 54.8075, -113.08, 2023-05-03 22:55:00, 2553.1, UC, MDT
ab, GWF-017-2023, 55.0666, -117.391, 2023-05-05 18:04:00, 5478.53, UC, MDT
ab, GWF-023-2023, 55.1575, -117.331, 2023-05-06 21:14:00, 3888.9, UC, MDT
qc, 165, 49.0486, -75.8294, 2023-05-27 22:45:00, 79.1, UC, EDT
pc, 2023WB10, 58.7334, -111.507, 2023-05-30 21:13:40, 369, OC, MDT
ak, Barley Way, 63.9789, -145.35, 2023-05-20 00:00:00, 125.49, Unstaffed/Contained
qc, 307, 49.4628, -76.1267, 2023-06-01 23:19:00, 0, BH, EDT
ab, LWF-120-2023, 56.2228, -110.948, 2023-05-16 21:25:00, 5.6, UC, MDT
ab, MWF-030-2023, 59.2466, -110.953, 2023-06-04 16:25:00, 7.4, BH, MDT
ab, MWF-026-2023, 57.8825, -111.054, 2023-05-28 19:05:00, 1705, BH, MDT
qc, 294, 49.4994, -69.5892, 2023-06-02 00:00:00, 0, UC, EDT
nt, SS005-23, 60.8492, -115.694, 2023-05-14 15:45:00, 3208.9, UC, MDT
qc, 430, 49.3747, -69.7864, 2023-06-04 19:00:00, 48.5, BH, EDT
ab, HWF-056-2023, 59.8411, -118.705, 2023-06-04 21:35:00, 33.5, UC, MDT
nt, FS008-23, 61.15, -121.217, 2023-06-05 22:04:00, 1, OC, MDT
qc, 261, 49.5064, -69.6569, 2023-06-01 20:22:00, 15431.9, BH, EDT
ab, PWF-050-2023, 57.523, -119.03, 2023-06-04 21:35:00, 0.35, UC, MDT
qc, 238, 47.5953, -76.5986, 2023-06-01 18:06:00, 328.2, UC, EDT
ab, PWF-052-2023, 57.1156, -119.538, 2023-06-05 21:15:00, 0.35, UC, MDT
ab, PWF-049-2023, 57.0816, -118.129, 2023-05-29 20:20:00, 2.77, UC, MDT
nt, VQ002-23, 64.3496, -122.732, 2023-06-03 00:55:00, 132, OC, MDT
nt, SS008-23, 60.325, -119.086, 2023-05-23 18:00:00, 108203, OC, MDT
